NIM,ANGKATAN,IPK,IPK LULUS,SKS TEMPUH,SKS LULUS,SKS TOTAL,IP SEMESTER 1,IP SEMESTER 2,IP SEMESTER 3,IP SEMESTER 4,IP SEMESTER 5,SKS TEMPUH SEMESTER 1,SKS TEMPUH SEMESTER 2,SKS TEMPUH SEMESTER 3,SKS TEMPUH SEMESTER 4,SKS TEMPUH SEMESTER 5,JUMLAH MATKUL YANG DI ULANG,JUMLAH CUTI (SEMESTER),status_kelulusan
181012077,2018,3.6,3.6,179.0,145.0,145.0,3.37,3.56,3.68,3.64,3.39,18.0,37.0,60.0,84.0,108.0,2,0,Tidak Tepat Waktu
181012104,2018,3.69,3.69,165.0,144.0,144.0,3.58,0.81,0.0,3.64,3.29,18.0,37.0,37.0,61.0,85.0,8,0,Tidak Tepat Waktu
181012208,2018,3.45,3.45,222.0,145.0,145.0,2.84,2.15,3.41,1.38,1.86,18.0,35.0,51.0,72.0,85.0,15,0,Tidak Tepat Waktu
181012212,2018,3.49,3.49,193.0,151.0,151.0,2.59,0.82,3.22,2.56,2.72,18.0,33.0,43.0,64.0,85.0,13,0,Tidak Tepat Waktu
181012224,2018,3.55,3.55,168.0,145.0,145.0,3.47,2.04,3.43,3.46,3.68,18.0,37.0,57.0,78.0,102.0,5,0,Tidak Tepat Waktu
181012264,2018,3.64,3.64,176.0,145.0,145.0,3.54,3.24,3.7,1.38,3.63,18.0,37.0,60.0,84.0,97.0,6,0,Tidak Tepat Waktu
181012305,2018,3.62,3.62,187.0,145.0,145.0,3.31,2.94,3.19,3.49,3.44,18.0,35.0,56.0,80.0,104.0,9,0,Tidak Tepat Waktu
181022043,2018,3.75,3.75,171.0,146.0,146.0,3.64,0.32,3.46,3.79,3.68,21.0,43.0,54.0,78.0,100.0,10,0,Tidak Tepat Waktu
181022065,2018,3.48,3.48,190.0,148.0,148.0,2.59,2.33,2.07,2.77,3.32,21.0,43.0,60.0,77.0,99.0,13,0,Tidak Tepat Waktu
181022080,2018,3.43,3.43,165.0,146.0,146.0,3.38,3.23,3.25,3.23,3.49,21.0,43.0,66.0,88.0,110.0,3,0,Tidak Tepat Waktu
181022138,2018,3.66,3.66,157.0,146.0,146.0,3.55,3.55,3.52,3.79,3.75,21.0,43.0,66.0,90.0,112.0,4,1,Tidak Tepat Waktu
